titulo,texto,data,fonte,url,origem,aspecto,sentimento,analises_detalhadas,relevancia,candidatos,regiao,tema,candidatos_mencionados
Exemplo de notícia política 1,"Este é um texto de exemplo para testar a API. Contém palavras como governo, economia, congresso e outros termos políticos. Lula comentou sobre o assunto em entrevista recente.",2025-06-08,G1,https://exemplo.com/noticia1,G1 - Política,outros,neutro,"[{'texto': 'Exemplo de notícia política 1', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Este é um texto de exemplo para testar a API.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Contém palavras como governo, economia, congresso e outros termos políticos.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Lula comentou sobre o assunto em entrevista recente.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,['Lula'],nordeste (AL),,
Exemplo de notícia política 2,"Outro texto de exemplo mencionando o presidente, ministros e congresso nacional para testes de classificação. Cláudio Castro comentou sobre o assunto em entrevista recente.",2025-06-08,BBC,https://exemplo.com/noticia2,BBC Brasil,outros,neutro,"[{'texto': 'Exemplo de notícia política 2', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Outro texto de exemplo mencionando o presidente, ministros e congresso nacional para testes de classificação.', 'aspecto': 'governo', 'sentimento': 'neutro', 'relevancia': 2}, {'texto': 'Cláudio Castro comentou sobre o assunto em entrevista recente.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",3,['Cláudio Castro'],norte (AC),,
Economia brasileira apresenta sinais de recuperação,Análise econômica mostra sinais positivos para o mercado e investimentos no país. Especialistas comentam. Cláudio Castro comentou sobre o assunto em entrevista recente.,2025-06-08,UOL,https://exemplo.com/noticia3,UOL Notícias,economia,neutro,"[{'texto': 'Economia brasileira apresenta sinais de recuperação', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Análise econômica mostra sinais positivos para o mercado e investimentos no país.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Especialistas comentam.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro comentou sobre o assunto em entrevista recente.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,['Cláudio Castro'],norte (AC),,
Tarcísio de Freitas questiona medidas sobre economia em Bahia,"Em pronunciamento hoje, Tarcísio de Freitas questiona um conjunto de medidas relacionadas a economia. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária. A proposta inclui redução de impostos e incentivos para pequenas empresas. ",2025-06-03,G1,https://exemplo.com/g1/economia/1,G1 - Política,economia,neutro,"[{'texto': 'Tarcísio de Freitas questiona medidas sobre economia em Bahia', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Tarcísio de Freitas questiona um conjunto de medidas relacionadas a economia.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'A proposta inclui redução de impostos e incentivos para pequenas empresas.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}]",5,,Bahia,economia,"['Tarcísio de Freitas', 'Rodrigo Pacheco']"
Rodrigo Pacheco apresenta medidas sobre corrupção em Bahia,"Em pronunciamento hoje, Rodrigo Pacheco apresenta um conjunto de medidas relacionadas a corrupção. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. As propostas incluem maior transparência e mecanismos de controle. ",2025-05-18,G1,https://exemplo.com/g1/corrupção/2,G1 - Política,outros,neutro,"[{'texto': 'Rodrigo Pacheco apresenta medidas sobre corrupção em Bahia', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco apresenta um conjunto de medidas relacionadas a corrupção.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As propostas incluem maior transparência e mecanismos de controle.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Bahia,corrupção,"['Rodrigo Pacheco', 'Tarcísio de Freitas']"
Lula propõe medidas sobre segurança em Amazonas,"Em pronunciamento hoje, Lula propõe um conjunto de medidas relacionadas a segurança. Durante evento em Amazonas, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. O projeto pretende aumentar o efetivo policial e modernizar equipamentos. ",2025-06-05,G1,https://exemplo.com/g1/segurança/3,G1 - Política,outros,neutro,"[{'texto': 'Lula propõe medidas sobre segurança em Amazonas', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula propõe um conjunto de medidas relacionadas a segurança.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Amazonas, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O projeto pretende aumentar o efetivo policial e modernizar equipamentos.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Amazonas,segurança,"['Lula', 'Eduardo Leite']"
Arthur Lira questiona medidas sobre congresso em Brasília,"Em pronunciamento hoje, Arthur Lira questiona um conjunto de medidas relacionadas a congresso. Durante evento em Brasília, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. ",2025-05-28,G1,https://exemplo.com/g1/congresso/4,G1 - Política,congresso,neutro,"[{'texto': 'Arthur Lira questiona medidas sobre congresso em Brasília', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Arthur Lira questiona um conjunto de medidas relacionadas a congresso.', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Brasília, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Brasília,congresso,"['Arthur Lira', 'Eduardo Leite']"
Lula critica medidas sobre reforma em Bahia,"Em pronunciamento hoje, Lula critica um conjunto de medidas relacionadas a reforma. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Cláudio Castro também comentou sobre o assunto, expressando opinião contrária. ",2025-05-10,G1,https://exemplo.com/g1/reforma/5,G1 - Política,outros,neutro,"[{'texto': 'Lula critica medidas sobre reforma em Bahia', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula critica um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Bahia,reforma,"['Lula', 'Cláudio Castro']"
Lula critica medidas sobre inflação em Amazonas,"Em pronunciamento hoje, Lula critica um conjunto de medidas relacionadas a inflação. Durante evento em Amazonas, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. ",2025-06-06,G1,https://exemplo.com/g1/inflação/6,G1 - Política,outros,neutro,"[{'texto': 'Lula critica medidas sobre inflação em Amazonas', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula critica um conjunto de medidas relacionadas a inflação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Amazonas, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Amazonas,inflação,"['Lula', 'Arthur Lira']"
Lula discute medidas sobre reforma em Minas Gerais,"Em pronunciamento hoje, Lula discute um conjunto de medidas relacionadas a reforma. Durante evento em Minas Gerais, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. ",2025-05-21,G1,https://exemplo.com/g1/reforma/7,G1 - Política,outros,neutro,"[{'texto': 'Lula discute medidas sobre reforma em Minas Gerais', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula discute um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Minas Gerais, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Minas Gerais,reforma,"['Lula', 'Eduardo Leite']"
